Date,No of Passengers Screened ,Under Home Qurantine,Completed 28 day qurantine,Airport Qurantine 
26-04-2020,210538,120362,87159,26
25-04-2020,210538,118358,87159,25
24-04-2020,210538,116095,87159,19
23-04-2020,210538,113398,87159,106
22-04-2020,210538,111478,87159,155
21-04-2020,210538,109972,87159,145
20-04-2020,210538,108337,87159,145
19-04-2020,210538,107193,85253,20
18-04-2020,210538,104936,80675,34
17-04-2020,210538,102842,78349,34
16-04-2020,210538,100031,75970,41
15-04-2020,210538,94450,72326,107
14-04-2020,210538,94281,68519,135
13-04-2020,210538,93941,63380,136
12-04-2020,210538,93560,58189,162
11-04-2020,210538,93549,49963,165
10-04-2020,210538,93146,45758,168
09-04-2020,210538,93014,32896,213
08-04-2020,210538,92814,32075,230
07-04-2020,210538,92581,27416,253
06-04-2020,210538, ,19060,205
05-04-2020,210538,90824,10814,127
04-04-2020,210538,90412,5315,102
03-04-2020,210538,86342,5080,105
02-04-2020,210538,86342,4070,81
01-04-2020,210538,77330,4070,81
31-03-2020,209288,77330,,81
30-03-2020,209284,74533,,79
29-03-2020,209284,43537,,79
28-03-2020,209284,,,
27-03-2020,209284,15629,,112
26-03-2020,209284,15788,,109
25-03-2020,209276,15492,,104
24-03-2020,209163,15298,,43
23-03-2020,209035,12519,,21
22-03-2020,205396,9424,,198
21-03-2020,201672,8950,,221
20-03-2020,198741,4253,,45
19-03-2020,194236,3481,,
18-03-2020,189750,2984,,
17-03-2020,184861,2635,,
16-03-2020,180062,2221,,
15-03-2020,174880,1973,,
14-03-2020,168681,1601,,
13-03-2020,161240,1406,,
12-03-2020,154100,1288,,
11-03-2020,146704,1265,,
10-03-2020,140064,1225,,
09-03-2020,131793,1137,,
